id,name,base,coating,transmission,transindex,purpose,lighting,lenstypeid,url,inserttime,validfrom,validto,sourceid
INT,VAR_STRING,VAR_STRING,VAR_STRING,VAR_STRING,INT,VAR_STRING,VAR_STRING,INT,VAR_STRING,TIMESTAMP,TIMESTAMP,TIMESTAMP,INT
1,+Red Iridium,Grey,+Red Iridium,15%,3,Increased Contrast,Medium to Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1075,2017-06-15 16:31:20,2017-06-15 20:31:19,NULL,2
2,+Red Iridium Polarized,Grey,+Red Iridium,0%,3,Increased Contrast,Medium to Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=2809,2017-06-15 16:31:25,2017-06-15 20:31:24,NULL,2
3,24K Gold Iridium,Orange,24K Gold Iridium,13%,3,Increased Contrast,Medium To Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1076,2017-06-15 16:31:30,2017-06-15 20:31:30,NULL,2
4,40% +Red Iridium,Light Grey?,+Red,40%,2,Increased Contrast,,2,http://www.o-review.com/lensdetail.asp?ID=2766,2017-06-15 16:31:35,2017-06-15 20:31:35,NULL,2
5,Amber Black Iridium Polarized,Amber,Black Iridium,18%,2,Increased Contrast,Medium To Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1824,2017-06-15 16:31:41,2017-06-15 20:31:40,NULL,2
6,Amber Polarized,Amber,n/a,30%,2,Increased Contrast,Medium to Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1077,2017-06-15 16:31:46,2017-06-15 20:31:45,NULL,2
7,Black Iridium,Grey,Black Iridium,10%,3,Neutral,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1078,2017-06-15 16:31:51,2017-06-15 20:31:51,NULL,2
8,Black Iridium Polarized,Grey,Black Iridium,9%,3,Neutral,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1082,2017-06-15 16:31:57,2017-06-15 20:31:57,NULL,2
9,Black Persimmon Iridium,Persimmon,Black Iridium,44%,1,Increased Contrast,Flat To Low Light,2,http://www.o-review.com/lensdetail.asp?ID=1083,2017-06-15 16:32:02,2017-06-15 20:32:02,NULL,2
10,Black Violet Iridium,Light Violet,Black Iridium,28%,2,Increased Contrast,Medium Light,2,http://www.o-review.com/lensdetail.asp?ID=1084,2017-06-15 16:32:08,2017-06-15 20:32:07,NULL,2
11,Blue Iridium,VR28,Blue Iridium,15%,3,Increased Contrast,Medium To Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1085,2017-06-15 16:32:13,2017-06-15 20:32:12,NULL,2
12,Blue-Black Iridium,Light Blue,Black Iridium,44%,1,Increased Contrast,Flat To Low Light,2,http://www.o-review.com/lensdetail.asp?ID=1087,2017-06-15 16:32:18,2017-06-15 20:32:17,NULL,2
13,Bronze,Bronze,n/a,22%,2,Neutral,Medium Light,2,http://www.o-review.com/lensdetail.asp?ID=1088,2017-06-15 16:32:23,2017-06-15 20:32:22,NULL,2
14,Bronze Polarized,Bronze,n/a,15%,3,Increased Contrast,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1089,2017-06-15 16:32:28,2017-06-15 20:32:28,NULL,2
15,Chrome Iridium,Grey,Chrome Iridium,12%,3,Increased Contrast,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=2767,2017-06-15 16:32:33,2017-06-15 20:32:33,NULL,2
16,Clear,Clear,n/a,93%,0,Neutral,"Very Low Light, Indoor Use",2,http://www.o-review.com/lensdetail.asp?ID=1090,2017-06-15 16:32:38,2017-06-15 20:32:38,NULL,2
17,Dark Bronze,Dark Bronze,n/a,12%,3,Increased Contrast,Medium to Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1820,2017-06-15 16:32:44,2017-06-15 20:32:43,NULL,2
18,Dark Grey,Dark Grey,n/a,10%,3,Neutral,Medium To Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1095,2017-06-15 16:32:50,2017-06-15 20:32:50,NULL,2
19,Deep Blue Polarized,,Blue Iridium,10%,3,Neutral,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=2768,2017-06-15 16:32:56,2017-06-15 20:32:55,NULL,2
20,Emerald Iridium,Grey,Emerald Iridium,13%,3,Neutral,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1096,2017-06-15 16:33:02,2017-06-15 20:33:01,NULL,2
21,Emerald Iridium Polarized,Grey,Emerald Iridium,13%,3,Neutral,Medium to Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1097,2017-06-15 16:33:07,2017-06-15 20:33:06,NULL,2
22,Emerald Slate Iridium,Slate,Emerald Iridium,24%,2,Neutral,Medium Light,2,http://www.o-review.com/lensdetail.asp?ID=1098,2017-06-15 16:33:12,2017-06-15 20:33:11,NULL,2
23,Fire Iridium,Amber,Fire Iridium,16%,3,Increased Contrast,Medium To Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1099,2017-06-15 16:33:17,2017-06-15 20:33:16,NULL,2
24,Fire Iridium Polarized,Amber,Fire Iridium,10%,3,Increased Contrast,Medium to Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1102,2017-06-15 16:33:22,2017-06-15 20:33:22,NULL,2
25,G20,G20,n/a,20%,3,Neutral,Medium to Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=2769,2017-06-15 16:33:27,2017-06-15 20:33:27,NULL,2
26,G20 Black Iridium,G20,Black Iridium,15%,3,Increased Contrast,Flat To Medium Light,2,http://www.o-review.com/lensdetail.asp?ID=2557,2017-06-15 16:33:33,2017-06-15 20:33:32,NULL,2
27,G26 Iridium,Amber,G26 Iridium,26%,2,Increased Contrast,Flat To Medium Light,2,http://www.o-review.com/lensdetail.asp?ID=1103,2017-06-15 16:33:40,2017-06-15 20:33:39,NULL,2
28,G30 Black Iridium,G30,Black Iridium,32%,3,Increased Contrast,Medium to Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1106,2017-06-15 16:33:46,2017-06-15 20:33:45,NULL,2
29,G30 Iridium,G30,G30 Iridium,30%,2,Increased Contrast,Flat To Medium Light,2,http://www.o-review.com/lensdetail.asp?ID=1104,2017-06-15 16:33:51,2017-06-15 20:33:51,NULL,2
30,G30 Persimmon,Persimmon,G30 Iridium,59%,3,Increased Contrast,Medium Light,2,http://www.o-review.com/lensdetail.asp?ID=1107,2017-06-15 16:33:56,2017-06-15 20:33:56,NULL,2
31,G30 Titanium Iridium,G30,Titanium Iridium,29%,3,Increased Contrast,Medium to Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1838,2017-06-15 16:34:02,2017-06-15 20:34:01,NULL,2
32,G40,G40,G40 Iridium,35%,2,Increased Contrast,Medium Light,2,http://www.o-review.com/lensdetail.asp?ID=1108,2017-06-15 16:34:07,2017-06-15 20:34:07,NULL,2
33,Gold Clear Iridium,Clear,Gold Iridium,53%,1,Neutral,Low Light,2,http://www.o-review.com/lensdetail.asp?ID=1109,2017-06-15 16:34:12,2017-06-15 20:34:12,NULL,2
34,Gold Iridium,Bronze,Gold Iridium,12%,3,Increased Contrast,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1110,2017-06-15 16:34:19,2017-06-15 20:34:18,NULL,2
35,Gold Iridium Polarized,Bronze,Gold Iridium,10%,3,Neutral,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1114,2017-06-15 16:34:24,2017-06-15 20:34:24,NULL,2
36,Gold Polarized,Bronze,n/a,15%,3,Increased Contrast,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1115,2017-06-15 16:34:29,2017-06-15 20:34:29,NULL,2
37,Grey,Grey,n/a,18%,2,Neutral,Medium To Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1116,2017-06-15 16:34:35,2017-06-15 20:34:34,NULL,2
38,Grey Polarized,Grey,n/a,17%,3,Neutral,Medium To Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1118,2017-06-15 16:34:40,2017-06-15 20:34:40,NULL,2
39,H.I. Blue,Yellow,Blue Iridium,86%,0,Increased Contrast,Low Light,2,http://www.o-review.com/lensdetail.asp?ID=1120,2017-06-15 16:34:46,2017-06-15 20:34:45,NULL,2
40,H.I. Persimmon,Persimmon,Blue Iridium,59%,1,Increased Contrast,Flat To Medium Light,2,http://www.o-review.com/lensdetail.asp?ID=1122,2017-06-15 16:34:51,2017-06-15 20:34:51,NULL,2
41,H.I. Yellow,Yellow,n/a,90%,0,Increased Contrast,Low Light,2,http://www.o-review.com/lensdetail.asp?ID=1125,2017-06-15 16:34:58,2017-06-15 20:34:57,NULL,2
42,Ice Iridium,Grey,Ice Iridium,10%,3,Neutral,Extremely Bright Light,2,http://www.o-review.com/lensdetail.asp?ID=1126,2017-06-15 16:35:08,2017-06-15 20:35:07,NULL,2
