id,name,inserttime,validfrom,validto,sourceid
INT,VAR_STRING,TIMESTAMP,TIMESTAMP,TIMESTAMP,INT
1,Uncategorised,2017-06-15 15:21:56,2017-06-15 15:21:56,NULL,1
2,Eyewear,2017-06-15 16:26:13,2017-06-15 20:26:13,NULL,2
3,Football Shield,2017-06-15 16:26:14,2017-06-15 20:26:13,NULL,2
4,Gradient,2017-06-15 16:26:15,2017-06-15 20:26:14,NULL,2
5,MX Goggle - Single Non-Vented Lexan,2017-06-15 16:26:15,2017-06-15 20:26:15,NULL,2
6,Old Lens,2017-06-15 16:26:16,2017-06-15 20:26:16,NULL,2
7,Photochromatic,2017-06-15 16:26:17,2017-06-15 20:26:16,NULL,2
8,Rx,2017-06-15 16:26:18,2017-06-15 20:26:17,NULL,2
9,Snow Goggle - Dual Vented Lexan,2017-06-15 16:26:18,2017-06-15 20:26:18,NULL,2
10,Snow Goggle - Dual Vented Plutonite,2017-06-15 16:26:19,2017-06-15 20:26:18,NULL,2
11,Snow Goggle - Single Vented Lexan,2017-06-15 16:26:20,2017-06-15 20:26:19,NULL,2
12,Transition,2017-06-15 16:26:20,2017-06-15 20:26:20,NULL,2
