id,name,inserttime,validfrom,validto,sourceid,styleid,sku,listprice,url,releasedate,retiredate,framecolour,lensid,fitid,genderid,note,image,imagesmall
INT,VAR_STRING,TIMESTAMP,TIMESTAMP,TIMESTAMP,INT,INT,VAR_STRING,VAR_STRING,VAR_STRING,VAR_STRING,VAR_STRING,VAR_STRING,INT,INT,INT,VAR_STRING,VAR_STRING,VAR_STRING
693,24K/Titanium Iridium Polarized,2017-06-15 17:16:46,2017-06-15 21:16:45,NULL,2,443,OO6011-10,$450,http://www.o-review.com/glassesdetail.asp?ID=5752,October 2011,0,24K,65,1,NULL,NULL,http://www.o-review.com/images/X-Metal/X-Squared_24K_TitaniumPolarized.jpg,http://www.o-review.com/images/X-Metal/small/X-Squared_24K_TitaniumPolarized.jpg
694,Carbon/Black Iridium,2017-06-15 17:17:29,2017-06-15 21:17:28,NULL,2,443,OO6011-01,$350,http://www.o-review.com/glassesdetail.asp?ID=4998,November 2009,NULL,Carbon,7,1,NULL,NULL,http://www.o-review.com/images/X-Metal/X-Squared_Carbon_Black.jpg,http://www.o-review.com/images/X-Metal/small/X-Squared_Carbon_Black.jpg
695,Carbon/OO Black Iridium Polarized,2017-06-15 17:17:50,2017-06-15 21:17:50,NULL,2,443,OO6011-08,$400,http://www.o-review.com/glassesdetail.asp?ID=5234,May 2010,NULL,Carbon,50,1,NULL,NULL,http://www.o-review.com/images/X-Metal/X-Squared_Carbon_OOBlackPolarized.jpg,http://www.o-review.com/images/X-Metal/small/X-Squared_Carbon_OOBlackPolarized.jpg
696,"Black / Silver Ghost Text/Warm Grey, Clear",2017-06-15 17:17:55,2017-06-15 21:17:54,NULL,2,636,OO9142-02,$220,http://www.o-review.com/glassesdetail.asp?ID=5615,2011,NULL,Black / Silver Ghost Text,177,1,NULL,NULL,http://www.o-review.com/images/Jackets/WindJacket_BlackSilverGhostText_WarmGreyClear.jpg,http://www.o-review.com/images/Jackets/small/WindJacket_BlackSilverGhostText_WarmGreyClear.jpg
697,Black/Black Iridium Polarized,2017-06-15 17:18:13,2017-06-15 21:18:13,NULL,2,603,04-283,$160,http://www.o-review.com/glassesdetail.asp?ID=374,NULL,NULL,Black,8,1,NULL,NULL,http://www.o-review.com/images/Frogskins/XX_Black_BlackPolarized.jpg,http://www.o-review.com/images/Frogskins/small/XX_Black_BlackPolarized.jpg
698,Plasma/Fire Iridium Polarized,2017-06-15 17:18:18,2017-06-15 21:18:17,NULL,2,443,OO6011-04,$415,http://www.o-review.com/glassesdetail.asp?ID=5001,November 2009,NULL,Plasma,24,1,NULL,NULL,http://www.o-review.com/images/X-Metal/X-Squared_Plasma_FirePolarized.jpg,http://www.o-review.com/images/X-Metal/small/X-Squared_Plasma_FirePolarized.jpg
699,Dark Grey/Warm Grey,2017-06-15 17:18:22,2017-06-15 21:18:21,NULL,2,636,OO9142-03,$250,http://www.o-review.com/glassesdetail.asp?ID=5673,July 2011,0,Dark Grey,85,1,NULL,NULL,http://www.o-review.com/images/Jackets/WindJacket_DucatiDarkGrey_WarmGreyClear.jpg,http://www.o-review.com/images/Jackets/small/WindJacket_DucatiDarkGrey_WarmGreyClear.jpg
700,Ducati Polished Red/VR28 Black Iridium Polarized,2017-06-15 17:18:33,2017-06-15 21:18:32,NULL,2,441,24-247,$655,http://www.o-review.com/glassesdetail.asp?ID=5371,April 2011,0,Ducati Polished Red,72,1,NULL,NULL,http://www.o-review.com/images/Elite/PitBoss_DucatiRed_BlackPolarized.jpg,http://www.o-review.com/images/Elite/small/PitBoss_DucatiRed_BlackPolarized.jpg
701,Black/Grey,2017-06-15 17:18:34,2017-06-15 21:18:34,NULL,2,603,11-068,$50,http://www.o-review.com/glassesdetail.asp?ID=1901,NULL,NULL,Black,37,1,NULL,NULL,http://www.o-review.com/images/Frogskins/SIXX_Black_Grey.jpg,http://www.o-review.com/images/Frogskins/small/SIXX_Black_Grey.jpg
702,Plasma/Ice Iridium,2017-06-15 17:18:40,2017-06-15 21:18:39,NULL,2,443,OO6011-02,$350,http://www.o-review.com/glassesdetail.asp?ID=4999,November 2009,NULL,Plasma,42,1,NULL,NULL,http://www.o-review.com/images/X-Metal/X-Squared_Plasma_Ice.jpg,http://www.o-review.com/images/X-Metal/small/X-Squared_Plasma_Ice.jpg
703,Cobalt/Black Iridium,2017-06-15 17:18:45,2017-06-15 21:18:44,NULL,2,462,05-712,$125,http://www.o-review.com/glassesdetail.asp?ID=486,NULL,2005,Cobalt,7,1,NULL,NULL,http://www.o-review.com/images/Wire/Wiretap_Cobalt_Black.jpg,http://www.o-review.com/images/Wire/small/Wiretap_Cobalt_Black.jpg
704,"Matte Black/Warm Grey, Clear",2017-06-15 17:18:46,2017-06-15 21:18:45,NULL,2,636,OO9142-01,$220,http://www.o-review.com/glassesdetail.asp?ID=5614,2011,NULL,Matte Black,177,1,NULL,NULL,http://www.o-review.com/images/Jackets/WindJacket_MatteBlack_WarmGreyClear.jpg,http://www.o-review.com/images/Jackets/small/WindJacket_MatteBlack_WarmGreyClear.jpg
