id,name,inserttime,validfrom,validto,sourceid,url,basecurveid
INT,VAR_STRING,TIMESTAMP,TIMESTAMP,TIMESTAMP,INT,VAR_STRING,INT
1,Overthetop,2017-06-15 16:11:22,2017-06-15 20:11:22,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=143,NULL
2,Ninja Overthetop,2017-06-15 16:11:26,2017-06-15 20:11:25,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=125,NULL
3,Medusa Goggles,2017-06-15 16:11:29,2017-06-15 20:11:28,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=119,NULL
4,Eyeshade,2017-06-15 16:11:32,2017-06-15 20:11:32,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=63,NULL
5,Cyclops Visor,2017-06-15 16:11:35,2017-06-15 20:11:35,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=48,NULL
6,Collectors Eyeshade,2017-06-15 16:11:39,2017-06-15 20:11:38,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=3060,NULL
7,Tron Pit Boss & Hardshell Backpack,2017-06-15 16:11:42,2017-06-15 20:11:41,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=3084,NULL
8,London Police Pack,2017-06-15 16:11:45,2017-06-15 20:11:45,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=2842,NULL
9,Good Livin Pack,2017-06-15 16:11:48,2017-06-15 20:11:48,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=2841,NULL
10,Fluoro Camo Pack,2017-06-15 16:11:52,2017-06-15 20:11:51,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=903,NULL
11,The Wade,2017-06-15 16:11:55,2017-06-15 20:11:54,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=1588,NULL
12,The Study,2017-06-15 16:11:58,2017-06-15 20:11:57,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=2872,NULL
13,The Story,2017-06-15 16:12:01,2017-06-15 20:12:01,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=2378,NULL
14,The Meeting,2017-06-15 16:12:04,2017-06-15 20:12:04,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=2377,NULL
15,The Median,2017-06-15 16:12:08,2017-06-15 20:12:07,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=2376,NULL
16,The Matter,2017-06-15 16:12:11,2017-06-15 20:12:10,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=2873,NULL
17,The Intro,2017-06-15 16:12:14,2017-06-15 20:12:13,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=2871,NULL
18,The Injection,2017-06-15 16:12:17,2017-06-15 20:12:17,NULL,2,http://www.o-review.com/glassesmodels.asp?ID=2870,NULL
