Type,Family,Model,Colorway,Frame,Lens,List Price,SKU,Release Date,Retire Date,Note:,Exclusive,Signature
Sunglasses,Jackets,Wind Jacket,"Black / Silver Ghost Text/Warm Grey, Clear",Black / Silver Ghost Text,"Warm Grey, Clear",$220,OO9142-02,2011,,,,
Sunglasses,Jackets,Wind Jacket,Dark Grey/Warm Grey,Dark Grey,Warm Grey,$250,OO9142-03,July 2011,0,,,Ducati
Sunglasses,Jackets,Wind Jacket,"Matte Black/Warm Grey, Clear",Matte Black,"Warm Grey, Clear",$220,OO9142-01,2011,,,,
Sunglasses,Jackets,Water Jacket,Bronze/Bronze Polarized,Bronze,Bronze Polarized,$240,04-679,2000,2005,,,
Sunglasses,Jackets,Water Jacket,Jet Black/VR28,Jet Black,VR28,$190,04-675,2000,2005,,,
Sunglasses,Jackets,Water Jacket,New Blue/VR28,New Blue,VR28,$190,04-676,2000,2005,,,
Sunglasses,Jackets,Water Jacket,Polished Black/Black Iridium Polarized,Polished Black,Black Iridium Polarized,$250,04-678,2000,,,,
Sunglasses,Jackets,Water Jacket,Polished Black/G30 Iridium,Polished Black,G30 Iridium,$190,04-677,2000,2005,,,
Sunglasses,Jackets,Valve (Asian Fit),Black/Black Iridium Polarized,Black,Black Iridium Polarized,$180,12-837J,,2005,,,
Sunglasses,Jackets,Valve (Asian Fit),Black - FMJ+ (Asian Fit)/Black Iridium,Black - FMJ+ (Asian Fit),Black Iridium,$115,03-875J,2005,,,,
Sunglasses,Jackets,Valve (Asian Fit),Blue - FMJ+ (Asian Fit)/Black Iridium,Blue - FMJ+ (Asian Fit),Black Iridium,$115,03-877J,2005,,,,
Sunglasses,Jackets,Valve (Asian Fit),Bronze (Asian Fit)/Titanium Iridium Polarized,Bronze (Asian Fit),Titanium Iridium Polarized,$180,03-878J,2005,,,,
Sunglasses,Jackets,Valve (Asian Fit),Dark Grey/Grey,Dark Grey,Grey,$115,03-880J,,2005,,,
Sunglasses,Jackets,Valve (Asian Fit),Dark Grey/Ice Iridium,Dark Grey,Ice Iridium,$125,04-675J,2004,2005,,,JP Montoya
Sunglasses,Jackets,Valve (Asian Fit),FMJ Platinum - FMJ+ (Asian Fit)/Gold Iridium,FMJ Platinum - FMJ+ (Asian Fit),Gold Iridium,$150,03-876J,2005,,,,
Sunglasses,Jackets,Valve,Black/Black Iridium Polarized,Black,Black Iridium Polarized,$180,12-837,,2005,,,
Sunglasses,Jackets,Valve,Black - FMJ+/Black Iridium,Black - FMJ+,Black Iridium,$115,03-875,,2005,,,
Sunglasses,Jackets,Valve,Blue - FMJ+/Black Iridium,Blue - FMJ+,Black Iridium,$115,03-877,,2005,,,
Sunglasses,Jackets,Valve,Bronze/Titanium Iridium Polarized,Bronze,Titanium Iridium Polarized,$180,03-878,,2005,,,
Sunglasses,Jackets,Valve,Dark Grey/Grey,Dark Grey,Grey,$115,03-880,,2005,,,
Sunglasses,Jackets,Valve,Dark Grey/Ice Iridium,Dark Grey,Ice Iridium,$125,04-675,2004,2005,,,JP Montoya
Sunglasses,Jackets,Valve,Dark Grey - Red/Black Iridium,Dark Grey - Red,Black Iridium,$120,12-638,,2005,,,Ducati
Sunglasses,Jackets,Valve,FMJ Platinum - FMJ+/Gold Iridium,FMJ Platinum - FMJ+,Gold Iridium,$150,03-876,,2004,,,
Sunglasses,Jackets,Valve,Matte Black - Orange/Black Iridium,Matte Black - Orange,Black Iridium,$140,12-707,November 2006,,,,Tony Stewart
Sunglasses,Jackets,Valve,Silver/Fire Iridium,Silver,Fire Iridium,$115,03-879,,2004,,OPD,
Sunglasses,Jackets,Valve,Silver/Ice Iridium,Silver,Ice Iridium,$130,12-642,,2004,,UK Exclusive,
Sunglasses,Jackets,Trenchcoat,Black/Gold Iridium,Black,Gold Iridium,$130,04-025,1995,2000,,,
Sunglasses,Jackets,Trenchcoat,Black/VR28,Black,VR28,$130,04-027,1995,2000,,,
Sunglasses,Jackets,Trenchcoat,Black Gold/Gold Iridium,Black Gold,Gold Iridium,$130,04-024,1995,2000,,,
